Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,A couple of answers that may be useful to understand this film better!!,kywoo7,n/a,15/08/2025,"SpoilerHi! I am a South Korean national student here in London, and would like to give you some clues why the main character, Oh Dae-Soo, was kept in the private prison for exactly 15 years and why he ate the live octopus as I hope you all understand this film a little better.Firstly, his wife was killed one year after his being kept in the privately run prison. Obviously, Oh Dae-Soo didn't kill her but was suspected of murdering her. It must be done by Lee Yu-Jin who planned to have his sister's revenge upon Oh Dae-Soo. In South Korea, criminals of unsolved crimes including murder cases are forgiven/overlooked by law 15 years after the crimes were committed, which means a murder suspect wouldn't be charged or get punished unless the suspect is caught within 15 years after the murder. This is why Oh Dae-Soo was released 15 years after his wife was killed. Thus, he wouldn't be disturbed by the police investigation and Lee Yu-Jin could play with him at his own discretion.Secondly, nobody in the country eats live octopus like the way he ate in the film. It seems to me that the scene shows his uncontrollable anger against the man who he talked with on the phone and didn't say anything about the reasons why he was kept in the prison. If there was a piece of cake or a bowl of rice in front of him, I guess he would probably eat it in the same way he did with the octopus. So, please don't get it wrong that eating something alive is part of Korean culture. It should be understood itself in that extreme context.I saw this film several times with my friends. I didn't quite understand it in the first view but came to like it in the second time and it's one of my favourites now. I like the complicated plot and the shocking ending. As I'm studying translation of English and Korean, most of my classmates and friends are English who spent some time in South Korean and they liked this one the most among other Korean films.I hope my talk helps.",True
2,9,Freaked me out,Genevieve_X,n/a,15/08/2025,"I haven't written a comment on IMDb for about 3 years but was inspired to with this film. It is not very often that I come across a film by accident (World Movies on cable) and the spend the next day scouring the internet to find out information about it and can't get it out of my head! Anyway, yep there are plot holes, but Old boy borrows a lot from surrealism and you are meant to suspend your disbelief! I don't buy comments when people say ""it is so unrealistic because he should've done this ..."" because it is a surrealist film and meant to be unrealistic! For me the sign of a good film is if it sticks on your head! THis one surely does (althought I did have to look away a few times ... ) Loved it!!!! Work of cruel genius!!! (HOLLYWOOD - Please don't ruin it by remaking it!!!)",False
3,9,Absolutely Sublime.......................................................,sqreader,n/a,15/08/2025,"I've scored this a 9 but I think I may have been a little harsh! I have just read a review that says the reviewer cannot understand the hype. I can see no hype. Everything the film promised and more was delivered. This is a truly wonderful film. It is beautifully acted, brutally and painstakingly directed and as good a display of raw emotion as I have witnessed in any language. The story is gripping, the characters believable and well rounded, the emotion human and the feeling I was left with at the end of the film is one of awe. And that was after I had watched it twice. Honestly, this is a truly, truly wonderful film. Do not miss it under any circumstances!",False
4,10,A cinematic bad boy,Leofwine_draca,n/a,15/08/2025,"SpoilerOldboy really is an odd movie. It's totally unconventional, completely original, and unlike anything else you'll probably find out there, even in the realms of Asian cinema. To say too much would be to spoil the ride, but this is a film where you'll always be guessing what's going to happen next and never quite sure what's really going on.It's a bleak, dark movie that begins very well indeed and stays strong throughout. Chan-wook Park is an expert director and really handles everything well. He's blessed with a superior leading man in Choi Min-sik, the kind of actor who gives his all to the movie, no restraint, no mild-mannered acting here...he lives and breathes the role and you believe in him at all times. Kang Hye-jeong, starring opposite him as love interest Mido, is also very effective, completely lovely and just right for her role.As for the story... wow. This movie has a brilliant script that constantly surprises you right up until the very last scene. Twists are commonplace these days, but the one found here is the most shocking I've ever seen. OLDBOY has it all, really. A great story unveiled in a leisurely way, piece by piece, no hurry. Touches of the surreal – the disgusting octopus-eating scene is everything you'd imagine it to be. Great acting, great technical aspects. There's violence too, of course. The tooth-pulling torture is probably the most squirm-inducing bit, but the highlight for me is the one-take corridor battle which has to be seen to be believed. One guy with a hammer versus twenty hoods...well, watch it and find out what happens.By the time the ending comes and you find out why Oh Dae-su was imprisoned, you realise you're watching a masterwork of cinema. It's not an easy film to sit through by any means, but it is affecting and it is very well made indeed. Challenging, gut-punching and outrageous: OLDBOY is one of the bad boys of our time.",True
5,10,If only we were all living in Asia....,bur_007,n/a,15/08/2025,"To start off; This is the one and only film that kept me quiet for a whole 5 mins after seeing it. I literally couldn't close my mouth, and yet there wasn't any sound coming out of it. Oldboy had such an impact on me that words are too little to describe that impact. Therefore this film is definitely in my top 3 films ever made. It belongs there because it has a massive ingredient that a lot of films seem to miss out on; a divine plot. Even though the acting and screenplay are world class, the plot is really the cherry on the cake.When it comes to screenplay Park Chan-Wook is unique (at least for western standards) in his way of filming. The colours are so vivid and it seems like he wanted every shot to be a piece of art. One tip: If you like the shooting in 'Oldboy', have a look at 'Sympathy for Lady Vengeance', the third part in Park's revenge-trilogy. It's even superior to the camera-work in 'Oldboy'. Don't, however, expect a story like Oldboy's, because you would be very disappointed.When it comes to acting and the music, this film is also one of the better films ever made. The music sticks in your head and every time I put in my Oldboy-DVD and the theme-song comes up, I'm just flooded with good memories (even though the plot doesn't have a single reason to be happy about). The characters are also presented very well by the outstanding cast. Especially Choi Min-Sik and Yu Ji-Tae set a very convincing performance.I really appreciate this film being respected as it should be, by having a place in the top 250. If, however, it was up to me it would be even higher in the ranking. I don't see why films like 'The Usual Suspects' or 'Memento', which are fantastic pieces of film-making and which without a doubt deserve a place in the top 250, are higher in the top 250 than 'Oldboy'. They serve the same cause; a fantastic plot. But those plots can't stand in the shadow or even come close to the plot of 'Oldboy'. The one and only reason is that those two films are better known and from a western production company. If we were all living in Asia, no doubt 'Oldboy' would be in the top 20 of all time.My advice to people who haven't watched this film yet: Go see it! This is definitely a must- see. If you have a weak stomach, pull yourself together and still watch it. Don't be as shallow as a lot of people here tend to be. Look beyond the violence and see the things I mentioned before: world class acting, cinematography, music and last but certainly not least the plot. Once you've opened yourself up you'll find a whole new world of cinema. Enjoy!",False
6,10,You Only Live Once...,Xstal,n/a,15/08/2025,"Imagine what you'd do, when you wake from a bad dream, to find you're held by four square walls, for as long as someone deems, no idea why you're trapped, what you've done, why you're kidnapped, just a ceaseless line of dumplings going down your gyoza hatch. Now some fifteen years have passed, every question has been asked, and you're suddenly set free, can start your own avenging spree, before you do you need to feed, by eating something that's in need, so an octopus is ordered, and head first you cross the borders. But things aren't what they might seem, tied and tethered and undreamed, as the puppet master hovers, manipulates what you'll discover.Some films you cannot watch too often and this is one of the greatest pieces of cinematic brilliance ever created.",False
7,10,Excellent in it's sickness,johnny-08,n/a,15/08/2025,"I looked at program for today and I saw movie ""Oldboy"". I read plot and I liked it. What I expected is decent thriller from very good South Korean cinematography,something like ""Salinui chueok "". But once again I was wrong. ""Oldboy"" is masterpiece, so unusual from all other movies. I've seen lots of violence on screen and to me this isn't nothing new but I think that people under 18 really shouldn't watch this one. It's because movie is brutal and I don't think that younger ones would fully understand this one.To say something about plot is quite impossible because I don't know where to begin. If I start talking about the movie I could tell few important things and I know that people often read other comments because they didn't watch that movie. So,I'm going to say only what I read before watching this movie.On his daughter's birthday, Oh Dae-su gets drunk and soon he's arrested by the police. His best friend No Joo-hwan somehow manages to get him out of jail and when No Joo-hwan is making a phone call Oh Dae-su disappears. Someone kidnap's him and puts him into room during 15 long years.But one day he's released.That's the plot. Very interesting, you should watch this movie and then judge it. By the rating on IMDb this movie is in top 250 movies. Now I can understand why. This plot that I wrote doesn't reveal the greatness of the people who wrote the script. I bow to them because this movie is so good, with all those twists and it really represents a whole new wave of making a movie, of writing a script and of acting in it. About direction and actors I can say only good things. Director Park Chan-wook won prize Grand Jury at Cannes. That's enough about direction part. About actors. I can say that I'm impressed by one actor:Choi Min-sik. He's amazing in major role and he showed great potential. I hope I will see him again in some good movie.I cannot say anything more because I could reveal some secret and I don't wanna do that to all new viewers. Only a recommendation. Beautiful, intelligent masterpiece of movie that I highly recommend for everyone with strong stomach and too all of you who want to see one excellent, but sick story. 10/10",False
8,10,Korea's great gift to movie industry,LeBaturalp,n/a,15/08/2025,"I don't know why but this movie will always be my favorite. Maybe because of amazing screenplays, very emotional soundtracks or feeling the high tension in every second. I watched so many movies which includes fight scenes. Some of them were good and some of them were bad but in Oldboy... I guess the best describing word is '' real'' about that fight scenes. Because I felt they were. And that scenes are covering about only 2% of the whole movie. Cinemography, perfect harmony of music and scenes, an amazing story and one of the great plot twists in movie history. I am struggling to find the correct words for this movie because this is a movie not a book. And I may easily say it is a masterpiece... I enjoyed the movie with every second of it. I wish there were more movies like Oldboy.But who knows? Maybe there will be...",False
9,9,One of most well-made films I've ever seen,max8791,n/a,15/08/2025,"I decided to check this movie out after Ebert's 4 star rave review, and the cult status this movie has received (and was also intrigued by the sexy-looking Ultimate Edition), so I decided to rent it. I was VERY surprised at how different it was than I expected it to be - I expected a ton of violence and not much in the way of writing or acting. The first time I saw it, I wasn't blown away, just kind of like whatever.When I watched it for the second time, however, I really started to notice how well it's made, in addition to liking it more. Every shot is bursting with background detail, a great amount of attention on the production design (the theme of a certain color in a scene was restrained, yet perfectly balanced). The actors really gave it all, especially the 2 male leads who really blew me away. The music is a varied mix of beautiful classical music and some pretty cool techno. The screenplay is brilliant; the characters are developed very well, extremely complex, and the plot is not only ingenious, but the payoff and twists are 1000x better than any Shamaylan movie.Simply put, from a technical point of view, it's one of the best movies ever. From a critic's point of view, it is a very well-done movie that goes a little overboard in sex and violence, and is just a little strange.",False
10,n/a,Didn't like it much at all,n/a,n/a,15/08/2025,"SpoilerArmond White of the NY Press has called it a ""virtuosic stupid movie"". I think that's exactly right.Certainly the movie looks fantastic. I liked the surrealistic touches. I think the director has a real imaginative way of capturing the process of memory -- there's an extended flashback about 3/4 way through which I think is as well conceived and shot as anything I've seen. The acting is standout. Hell, I even liked the score.But the movie almost aggressively makes no sense.SPOILERS Leave aside for a moment the obvious plot holes, large and small -- although it's worth noting that there's a whole lot of them. Leave aside the contrivances, too: the endless special gadgets the bad guy comes up with just when he needs them, the rather magical view of hypnosis, Dae-Su's magical new abilities, the seeming omnipotence of the badguy. Let's assume all this is beside the point, and that we're supposed to take the movie more or less symbolically ala FIGHT CLUB (probably the closest reference).The movie doesn't make any sense thematically, either. What's it really about? The virtue of keeping your mouth shut? The movie seems to suggest that the bad guy's sexual relationship with his sister is just fine, the problem seems to be Dae-Su's big mouth. The movie rather laboriously teaches this: the sister kills herself because of the rumors which somehow the sister believes to be true (?); Dae-Su becomes convinced that he was, in fact, at fault; Dae-Su cuts his own tongue out; Dae-Su pleads that Mi-do never learn the truth; Dae-Su even ends up brainwashing himself via hypnosis to forget the truth -- or ""keep his mind shut"", in a sense. I mean, huh? This is a pretty juvenile kind of ethics, to be blunt about it. Although Dae-Su is the protagonist the movie really doesn't seem to be on his side. It also hints at a weird kind of passivity: for all of the hammer swinging and octopus eating, Dae-Su doesn't really do all that much: things are done to him, and eventually he begins to internalize the abuse given to him.Is it about the futility of revenge? One would think, particularly with the references to COUNT OF MONTE CRISTO. But leaving aside the notion that Dae-Su's tormentor's omnipresence seems to weigh against the notion of him and Mi-do doing anything, really, but take their lumps or try to fight back, the fact that Dae-Su is considered by the movie to have really ""done"" something makes any critique pretty complicated. Remember, in COUNT Dantes is a true innocent. His motives are as pure as revenge ever gets -- that's why Dumas's ultimate critique, his ultimate notion that revenge even for the Count is wrong works so well. The force is seen in isolation. Here, though, it seems more a case of Dae-Su learning how ""bad"" he really is. He shouldn't take revenge because he really IS at fault.I guess you could argue that the movie shows revenge is futile from the bad guy's point of view. Then why are we watching Dae-Su at all? Maybe the point is that everyone feels themselves righteous until they realize the true dimensions of their ""sin"". But I don't see a lot of people facing up to facts in the movie: I see a lot of denial, in fact. Dae-Su admits to his relatively ""minor"" sin but can't face up to his ""major"" one.After I saw this I read some interviews with the cast and crew, and apparently some of this vagueness is intentional -- we're supposed to be left unsure. Well, the movie is successful in that, but I think it's an unworthy goal, an abdication of the artist's responsibility. People have bristled at the charge that this movie is nihilistic, but if that really is the point, that the movie's supposed to throw up it's hands and say, ""hey, I dunno, you figure it out"", then that truly is nihilism.Ah well, I could go on, but I won't bore you. A virtuosic stupid movie indeed, I think: often amazing to watch but underneath the surface just a whole bunch of muddleheadedness.",True
