Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Bergman knows how to make you think.,iam-1,n/a,15/08/2025,"Bergman has been seen by many as being a depressing film makes, who speaks above the heads of most people.  Thank God someone does! In this piece of genius, we are asked to consider who God is; what makes a life worthwhile; and whether human nature alters through the generations, or is it just the costumes that change?  As usual, the answers are to be provided by the audience.  We must chose for ourselves what we think is 'right' or 'just'. Bergman uses the usual pattern for him - a man is on a journey (life) and meets people who are going along the same road (friends and family), and they all head toward the end of their trip (death).  They stop in for obligatory visits with relatives and for food (as we all do), receive an honourary degree (fame & success?), and then send the children off to a party held in our honour that we do not attend (funeral).  What happens along the way is important, but we always end up in the same place - the end. Wonderful editing techniques, good story, good images, fantastic acting, and more ideas and questions to ponder than one film can hold - or so you thought.  It's only after the film ends that these ponderings come to you. During the film, you simply watch a man travel from his home to another city, but this is far from what the film is about. See this film once, think about the questions it poses, then rewind and see it again.  You will be rewarded for doing so.",False
2,9,A Magnificent Film,thxrvg,n/a,15/08/2025,"SpoilerThere are moments in Ingmar Bergman's Wild Strawberries where you become so enthralled by an image that you want to dwell on it, until you realize that there are so many such moments that to do so would be to stop at practically every scene in the film. The sheer technical and visual skill that Bergman shows here is unsurprising, insofar as we ought to expect this from him, but it is dazzling, even when it is displayed in a film that, on the surface, has a rather tame premise. An old man, Professor Isak Borg (played to perfection by Victor Sjöström), is driving to Lund, where he is to be honoured. His son's wife, and three spirited young people, two men and a woman, accompany him. They also pick up an utterly depressed couple along the way, only to drop them off when they begin to fight. Interspersed with the present actions are the old man's dreams, and flashbacks to his youth.Out of this material, Bergman crafts a wonderful and touching film about redemption. There is always a tendency to marvel at how an atheist like Bergman can be so deeply involved with religious issues, but many atheists, of course, are atheists precisely as a result of such deep involvement. I don't know enough about Bergman's views on religion to comment on his attitude towards God and religion beyond the basics. What is important, at any rate, is that this film is one in which an old man is redeemed from a miserably lonely and empty existence through contact with others. This is a deeply humanistic view of redemption, and one which is firmly grounded in reality.The film begins with the professor telling us that he has distanced himself from others, because he has shunned human relationships. This has left him feeling empty and alone. The man we see seems nice enough, until we learn from his son's wife, who speaks frankly to him, how this self-imposed exilic state has rendered him selfish and aloof. Through flashbacks and the dream sequences, we learn enough about his life to chart his progress: when young, the girl he loved, Sara, chose his brother over him. The professor married, but the marriage was a bad one; his wife cheated on him, but it apparently did nothing for him. To her, as she states in one of the dream sequences, he was "" cold as ice"". The professor, therefore, is old, lonely, and has an empty existence.How does one find oneself out of that miserable situation? There are three means through which the old man is redeemed. Firstly, the dream sequences serve to warn him of death, which, considering that the man is 78, could come any day. The dream sequences also point out to him just how detached he is from other human beings. In a fantastic scene, he is given a test, which he fails. The point is clear enough: he might be a professor and doctor, but that is nothing if he does not have an understanding of human beings, their emotions and feelings. Secondly, the flashbacks serve to remind him of a time when he was connected with others, as well as of times when he was disconnected from his wife and others. The beautiful scenes of his childhood are marvelously retold, with everyone well dressed in white, and the entire family engaging with each other. Only he is absent, standing in the dark at the threshold, an old man staring at the happy ghosts of the past mingling before him. Lastly, the three young people the professor meets, especially the wonderful Sonia, connect with him on a deeply emotional and innocent level. The girl looks like, and has the same name as, the Sonia who rejected the professor in favour of his brother when he was young. You can interpret this in any way you like, but I think it's obvious that we see here a kind of second chance. In the car, the professor asks Sonia which of the two young men she likes the most. She does not answer firmly. At the end of the film, as the three bid him goodbye, she tells the professor that she loves him the most of all. He brushes it off, but once he gets in bed, there is a great smile on his face. The smile no doubt is a reaction to the whole day's events, but I'm certain that one big reason for his happiness at the end is that Sonia finally chose him, after having rejected him so long ago.What is the overall message of this film? As with all great films, there is no one right answer. What is certain, however, is that Bergman gives us a view of the world that is neither wholly pessimistic nor wholly optimistic, because it is so painfully real. The characters in this film have been bruised. They are broken, and seek a way out of their situation. There is no indication in the film that Bergman suggests that a solution will solve all the problems. Rather, any change for the better can only come once we engage with the past. Through an understanding of our past and our self, we can add a new sense of our self to what the past given. If we can achieve that, through whatever means necessary, then we can be redeemed. In fact, that understanding of ourselves is itself a kind of redemption. Bergman's world is one in which hope is always possible. It can happen to an unsuspecting 78 year old man, and it can happen to us. It is never too late. Every day in our life is a new chance to make something better of ourselves.A+",True
3,9,exceptionally well made,planktonrules,n/a,15/08/2025,"Although I'm not the biggest Ingmar Bergman fan, I have really enjoyed some of his movies--especially the one that are not so pessimistic. Although the underlying theme of this movie is aging and impending death, the movie is NOT all pessimism. If it had been, it would have lost my interest early on. Instead, I really enjoyed the film--particularly the fine acting by Victor Sjöström as Professor Borg.The professor is well-respected for his work as a doctor. However, despite his success in his career, he is a failure in his personal relationships. His emotional baggage over the years has prevented him from allowing himself to be close to those he truly loves. This theme mirrors one of the subplots of Through a Glass Darkly, where a father is being destroyed inside by his daughter's mental illness but he CANNOT allow himself to show his anguish--choosing instead to hide in his room with his tears. It is interesting that the same man playing Borg's son (Gunnar Björnstrand) plays the father only a few years later in Through a Glass Darkly.Fortunately, unlike Through a Glass Darkly, there IS evidence that the professor is willing to change his persona, as he begins to open up more through the course of the movie. This appears to be assisted through extensive soul searching and dreams the professor has concerning his past and his own mortality--along with experiences he has during a long drive down the coast of Sweden. Because of this, even his extremely strained relationship with his son appears to hold some hope of improvement by the film's end. This hope for change lifts this movie above some Bergman films that only wallow in hopelessness.FYI--The Criterion version of this DVD is nice due to its running commentary as well as the accompanying documentary. Get this version if you have the chance.Also FYI--After watching many Bergman films and reading about his life, I detect quite a bit of autobiography in this film and his own stuggles with intimacy.",False
4,10,A cathartic viewing experience,jonr-3,n/a,15/08/2025,"I'd seen ""Wild Strawberries"" as a college freshman when it was first released, and knew right away I'd be a Bergman fan from then on.I watched it again just last night, January 2004, at age 63, and needless to say got a whole different perspective on the film.  Where the surrealist touches, moody photography, and incredibly smooth direction had made the big hit with me as a near boy, as an aging man I found myself--I hesitate to say painfully, but...well, closely--identifying with old Isak Borg in his strange pilgrimage, both interior and exterior, the day he receives his honorary degree at the cathedral in Lund.In the last twenty minutes or so of the movie, I found tears running down my face, not from any thrilling sentimental browbeating (I doubt if Mr. Bergman shot five seconds' worth of sentimentality in his whole long career!) but simply from the cumulative emotional impact of this simple, powerful story and its probing revelation of human character, desire, and chagrin.By the time the film ended, I felt wrung out, disoriented, happy and deeply sad at the same time: it's the experience the Greeks wanted their tragedies to convey to the spectator; they spoke of ""katharsis.""  I experienced it firsthand when I had the great good fortune to see a production (in English) of ""Medea.""  I walked away in tears and scarcely able to think straight for an hour or so.The same thing happened with ""Wild Strawberries.""  This is one of the handful of films I unhesitatingly rate a ""ten.""A side note: I watched the Criterion Collection DVD.  Before the film itself, I watched the hour-long interview conducted in 1998 by Jorn Donner included on the disc.  It was remarkable to see how the film Bergman shot ca. 1957 contains many elements that were to be present in his later life--like a foreshadowing of his own old age.",False
5,10,When film was an art form,DennisLittrell,n/a,15/08/2025,"In this symbolic tale of an old man's journey from emotional isolation to a kind of personal renaissance, Ingmar Bergman explores in part his own past, and in doing so rewards us all with a tale of redemption and love.Victor Sjostrom, then 80 years old, stars as Professor Isak Borg whose self-indulgent cynicism has left him isolated from others. Sjostrom, whose work goes back to the very beginning of the Swedish cinema in the silent film era, both as an actor and as a director, gives a brilliant and compelling performance. All the action of the film takes place in a single day with flashbacks and dream sequences to Borg's past as Borg wakes and goes on a journey to receive a ""Jubilee Doctor"" degree from the University of Lund. Bergman wrote that the idea for the film came upon him when he asked the question, ""What if I could suddenly walk into my childhood?"" He then imagined a film ""about suddenly opening a door, emerging in reality, then turning a corner and entering another period of one's existence, and all the time the past is going on, alive.""Bibi Andersson plays both the Sara from Borg's childhood, the cousin he was to marry, and the hitchhiker Sara who with her two companions befriends him with warmth and affection. The key scene is when the ancient Borg in dreamscape comes upon the Sara of his childhood out gathering wild strawberries. Borg looks on (unnoticed of course) as his brother, the young Sigfrid, ravishes her with a kiss which she returns passionately; and, as the wild strawberries fall from her bowl onto her apron, staining it red, Borg experiences the pain of infidelity and heartbreak once again. Note that in English we speak of losing one's ""cherry""; here the strawberries symbolize emotionally much the same thing for Sara. Later on in the film as the redemption comes, the present day Sara calls out to Borg that it is he that she really loves, always and forever. Borg waves her away from the balcony, yet we are greatly moved by her love, and we know how touched he is.The two young men accompanying Sara can be seen as reincarnations of the serious and careful Isak Borg and the more carefree and daring Sigfrid. It is as though his life has returned to him as a theater in which the characters resemble those of his past; yet we are not clear in realizing whether the resemblance properly belongs in the old man's mind or is a synchronicity of time returned.Memorable is Ingrid Thulin who plays Mariana, the wife of Borg's son who accompanies him on the auto trip to Lund. She begins with frank bitterness toward the old man but ends with love for him; and again we are emotionally moved at the transformation. What Bergman does so very well in this film is to make us experience forgiveness and the transformation of the human spirit from the negative emotions of jealousy and a cold indifference that is close to hate, to the redemption that comes with love and a renewal of the human spirit. In quiet agreement with this, but with the edge of realism fully intact, is the scene near the end when Borg asks his long time housekeeper and cook if they might not call one another by their first names. She responses that even at her age, a woman has her reputation to consider. Such a gentle comeuppance meshes well with, and serves as a foil for, all that has gone on before on this magical day in an old man's life.See this for Bergman who was just then realizing his genius (The Seventh Seal was produced immediately before this film) and for Sjostrom who had the rare opportunity to return to film as an actor in a leading role many decades past him prime, and made the most of it with a flawless performance, his last major performance as he was to die three years later.(Note: Over 500 of my movie reviews are now available in my book ""Cut to the Chaise Lounge or I Can't Believe I Swallowed the Remote!"" Get it at Amazon!)",False
6,10,"One of Master's  Most Optimistic, Profound, And Warmest  Films.",Galina_movie_fan,n/a,15/08/2025,"I first saw ""Wild Strawberries"" many years ago at one of the special screenings in the small theater in Moscow. It was the first Bergman's film I ever saw. This picture is amazing in its emotional impact and in my opinion is one of Bergman's most optimistic, profound, and warm films.""Wild Strawberries"" provides sincere, intelligent, and emotional contemplations of life's disappointment, regrets, and losses. The main character, seventy-eight-year-old Professor Isak Borg is forced to see his life in a true and painful light, but he also would learn that there is hope.Sparkling cinematography by Gunnar Fisher and superb acting of Bergman's regulars  Ingrid Thulin, Bibi Anderson, Gunnar Bjornstrand, Max von Sydow and especially, the great silent film director, Victor Sjostrom as Professor Borg add to many delights of ""Wild Strawberries"" which also include Bergman's writing/directing with his famous mixing of conscious and unconscious, dreams and reality, the past and the present in the same scene.",False
7,n/a,One of Bergman's greatest achievements,n/a,n/a,15/08/2025,"Wild Strawberries can be praised for so many reasons, but chief among them in my own mind is the way in which the film so perfectly conveys its themes of self-examination and the contemplation of one's own mortality (particularly through its stunning use of flashbacks).  Bergman's autobiographical story also benefits from the brilliant casting of Swedish film legend Victor Sjostrom as Isak Borg, whose towering performance is essential to the success of Wild Strawberries.  I read that Bergman based the coffin dream sequence on a frequent nightmare that he had -- and it never ceases to amaze me just how effective it remains even after all these years.  Wild Strawberries seems like a quiet, thoughtful, introsepective movie -- and it is; it is also one of world cinema's most impressive motion pictures.",False
8,10,Film as an art  form,wiseowl-5,n/a,15/08/2025,"SpoilerWe trace the journey of an elderly professor who is traveling to receive an honor for a life of accomplishment and service. Along the way he confronts the lack of success in his human relationships as opposed to the success he has enjoyed professionally. A string of encounters with the past and with iconic people he meets gradually bring the contrast into focus for the viewer.I particularly liked the subtle and intelligent storytelling in this film. He tells us before the credits that he is just a boring pedant. We realize as he comes to realize what this has really meant to him. We slowly receive hints of the emotional truths that frame the man's life. He is confronted by traces of how things could have been different.Important points are hinted at without being said--the viewer is left to sort them out. For example, the couple at the gas station convince us in a short and seemingly banal exchange that the Professor was a great healer whose service to those outside his family was anything but sterile. Yet speaking to his daughter-in-law, his smug insistence that a debt must be paid gives us a glimpse at what it must have been like for his son to have been held at emotional bay by bloodless, cold rationalism.This film deserves NOT to be remade, in order to preserve its artistic integrity. It affirms that film can be an art form that touches the soul as opposed to merely a product to be sold.",True
9,10,Stunning Bergman Masterpiece -- Maybe His Best?,evanston_dad,n/a,15/08/2025,"""Wild Strawberries"" profoundly moved me. The theme -- an old man coming up fast on death and wondering if his life has had any meaning -- is an old one for Bergman, and one which he explored ad nauseum throughout the subsequent decades. But here Bergman approaches the question with an uncharacteristic optimism and sense of hope. For once, he seems to come close to finding some peace with the unknowns of life that obviously preoccupied him as an artist, and the movie he gives us is sad but immensely warm; resigned but calm and reflective.An unequivocal masterpiece, and only one of a handful of Bergman films (""Persona"" and ""Cries and Whispers"" being two others) that don't drive me over the edge when I watch them now.Grade: A+",False
10,10,First Bergman,SanTropez_Couch,n/a,15/08/2025,"During the first scene of ""Wild Strawberries,"" I didn't think I'd be able to get through it -- the Swedish was so alien to me it sounded almost comical; it seemed as if every word ended with an ""eer"" sound. But quickly the beautiful black and white photography caught my eye and I was drawn into Isak Borg's story, or rather, his self-examination.The progression of the film is fantastic. Early in the film, Isak has an apparition within a dream and the small events leading up to it, within the dream, are quite brilliant. Throughout the rest of the film there are dreams and recollections; newly discovered secrets of the past that Isak sees for the first time. As he says in the film, ""Dreams, as if I must tell myself something I won't listen to when I'm awake.""How Bergman shows us the characters is terrific. It's a like a relaxed puzzle that doesn't emphasize any sort of urgency to figure things out. The story unfolds beautifully as we get a deeper sense of Isak, who I assume is an alter ago of Ingmar Bergman at that stage of his life (he was thirty-nine when the film was released).It pains me to know that the majority of people my age would rather watch an Adam Sandler movie or ""The Rock"" than something like this. Hey, I liked ""Big Daddy"" and I love Nicolas Cage, but ""Wild Strawberries"" is one of the few films I've seen that could possibly change the way I live my life. I'm always interested in listening to what aged people have to say about their own life because, well, it can only give me tips about my own, and that's what this film does in a way.There is one sequence in the film that is frightening and ""arty,"" and I don't completely grasp what it means beyond Isak's deterioration and his realization of how people actually feel towards him (he's told earlier in the film as well, but he seems to accept this ""verdict"" more readily), but it doesn't take away from the film; rather, it's an interesting addition to an otherwise satisfying experience. In fact, it's probably the most vital part of the movie -- Isak may not like it, bbut once he gets past it, he has the option to develop.I don't know if the film is a masterpiece -- it's my introduction to Bergman, so once I see ""Cries and Whispers,"" ""Fanny and Alexander,"" ""Persona"" and ""The Seventh Seal"" (if I can get through it, this time) I'll come back to this film with a new perspective, or at least see it as a part of Bergman's whole. I do think this is a great film of its type. It's the kind of film that may require viewings every five or so years, as a sort of reminder.Pauline Kael once said that she didn't think much of Bergman because she'd done her share of soul-wrestling and it wasn't that difficult. The film isn't as challenging as I was expecting it to be, in fact, it's a walk in the park. It's pleasant and rich and beautiful, and the title seems perfect after you've seen the film. It's all about wild strawberries.****",False
