Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,10,Life's Lessons in one Movie...,lacey_joeskip7,n/a,15/08/2025,When I first saw this movie I didn't appreciate it like I do now. I think it may have been because I was so young when I first saw it. Just recently I saw the movie again. What an amazing story and moving meaning. That movie teaches you so much about life and the meaning of it. That life isn't as bad as most people make it seem. That an innocent man can impact so many lives with his innocence. The meaning of the movie to me is that everyone needs to have a better outlook on life. That we need to appreciate more of the little things and not let the big things hold us back. That truly although life may throw us trials and tribulations like a box of chocolates but that we have to just bite into it and get through it even if we don't like it. That we all need to hold true to our values and not sink into a place that feels like there's no hope... I just love this movie. And anyone who hasn't seen it or who thinks that don't like it I seriously suggest seeing it or seeing it again. It truly is amazing...,False
2,10,A beautiful fable for now and the future,Zonieboy,n/a,15/08/2025,"I believe everyone has a right to their opinion about films or other topics. However from a lot of the comments I have read about this film, I do not think many got the gist of the message from the author and the film maker. This film is a great modern fable, a fable in the dictionary is defined as a brief fictitious story that teaches a moral. There are many morals defined in this film but foremost is integrity and a simple goodness.I have a half brother who grew up in the Southern U.S. and on one occasion we were discussing this film and he said he felt it portrayed Southerners as dimwitted. I disagreed with him and informed him that the author himself was a native Southerner. The setting is central to this story in that it lets the tale unfold tying in factual events with the fable before us.The film is wonderfully directed by Robert Zemeckis, the film is his opus and is acted by a great cast on all levels. From the children who were Forrest Gump and Gump Jr. by Haley Joel Osment. Say what you want but I feel Tom Hanks deserved the Oscar award. Gary Sinise is synonymous with Lt.Dan whenever you hear those words. Sally Fields is the loving dutiful mother in her challenging situation. Mykelti Williamson as Bubba gives you a real sense in the story that Gump had a genuine friend, he moves you with his character. Words don't grasp the full performance of Robin Wright Penn as Jenny. Jennys' tenderness and pain are palpable as exhibited by Wright.I feel that much of Gumps' appeal is his downright sense of doing the right thing regardless of the people and situations around him and we see that in this film. That being the case maybe we all wish we could be just a little more like that, trying to maintain innate goodness and not the trade-offs we often make as we go down lifes highways.The movie has it all too,drama,comedy and it challenges societal norms as well. Then there are the almost endless quotes from the movie that have slipped into everyday speech. They are too numerous to say at this point.One of the toppers for me in the movie is when Forrest is in a quandary about life and wondering as Lt.Dan said we all have a destiny and his Mom says it is where we are all just floating around like a feather in the wind. Forrest's character terms it very well with this quote,""I think it is a little bit of both."" From my experiences in life it does appear to be that way. So if you have not seen the movie,see it soon you are in for a real treat. If you did not like it, give it a try again and hopefully you will see it for the great story it is!",False
3,10,Let's see the world through the eyes of Forrest Gump,Smells_Like_Cheese,n/a,15/08/2025,"""I've made about 20 films and 5 of them are pretty good""-Tom Hanks.""Forrest Gump"" is one of the best movies of all time, guaranteed. I really just love this movie and it has such a special place in my heart. The performances are just so unforgettable and never get out of your head. The characters, I mean the actors turned into them and that's what got to me. The lines are so memorable, touching, and sometimes hilarious.We have Forrest Gump(Tom Hanks), not the sharpest tool in the box, his I.Q. is right below the average scores. But his mama(Sally Field) believes that her boy has the same opportunities as anyone else and lets Forrest know that there's nothing that could hold him back. As a boy he is put into braces for his legs since he has a crooked back and really doesn't have too many friends. When he gets on a school bus for his first day of school, NO ONE will let him sit next to them. This scene is so heart breaking until you hear a little angel's voice ""You can sit here if you want"". Jenny, Forrest's best friend and crush, she looks so incredibly innocent and you love her because her and Forrest are like pea's and carrots. But we find out that there is an extremely unfortunate side to her life, she has a father that's ""always kissing and touching her and her sisters"". Forrest just assumes that it's a father's love since he doesn't have a dad that could show him that it's wrong.Forrest and Jenny together walk every day from school and when these kids start throwing rocks at Forrest calling him stupid, Jenny just tells Forrest ""Run, Forrest! Run!"". He miraculously breaks the braces off his legs and run like the wind blows. Forrest meets many celebrities from his life that just happened to be there: Elvis Presley visited his house before hitting it big, President Kennedy honored him with a all American football award, President Johnson who honored him with a medal of honor for his actions in Vietnam, President Nixon(in which Forrest happens to discover a problem in the Water Gate Hotel because some people seem to be flashing lights around), and John Lennon through a talk show to talk about his medal of honor.Forrest meets some interesting people along the way too that are even better than these celebrities combined; Bubba his Vietnam war friend who dreams of owning a shrimp boat one day and was born with big gums. He is just so wonderful and charming and won't stop talking about shrimp. Luteniet Dan, a leader of Forrest's army in Vietnam who gets saved by Forrest during a huge attack and looses his legs as a result. Luteniet Dan was by far my favorite character, he has so much pride and wants to die in Vietnam due to his family history tradition of dying in every single American war. He and Forrest make quite a pair. And of course there's Jenny, a very tragic figure, she gets more mean as she grows up because she knows that Forrest loves her, in some ways you can't blame her really. She was obviously abused and I think she felt that Forrest was too good for her or that he couldn't really give her the love she wanted. Robin Wright, what a beautiful and wonderful actress.This movie is incredible and should be seen by everyone. I am not kidding, ""Forrest Gump"" is a remarkable movie and inspires everyone. It's not just about someone stupid who happens to be in great places and historic events just because of being in the right place at the right time. This story is beautiful and will inspire everyone to go the distance and see the world like Forrest did and will never give up on their dreams.10/10",False
4,10,"In my opinion, no film has touched me more than this one.....",thomas-hardcastle-2,n/a,15/08/2025,"Quite simply, the greatest film ever made.Humour, sadness, action, drama and a Vietnam film all rolled into one.I'm not a stone cold, heartless villain, but it takes a lot to make me cry when I watch a movie. Bambi's mother, I couldn't care less. Jimmy Stewart in, ""Oh, what a wonderful life,"" - yeah right! The Lion King, when Mufasa bites the big one - on the verge.But seriously - I bawled my big brown eyes out, on several occasions in this film. A real tear-jerker, and a wonderful character, played to perfection by Tom Hanks. Every bit as worthy for the Oscar as Rooney was to win the Premiership in 2007.I cannot say it enough: This is THE film of all time. Watch it, and you'll see.",False
5,10,The zen of Forrest Gump.,sundrymules,n/a,15/08/2025,"This is a powerful yet charming movie; fun for its special effects and profound in how it keeps you thinking long after it's over. Like others, I've seen this movie more than once. One comment I've never heard is that Forrest's simplicity is almost zen-like. I should read the novel to get the author's intention (I remember some people preferring the book and complaining that no one at the Academy Awards gave him any credit.) But rather than an implication that you should do what you're supposed to do and believe in God and you'll win in the end, I see it as zen-like, i.e., living in the moment and not having expectations or particular cravings (other than his loving Jenny.) So he ends up just stumbling into all the major historical events of the time. Granted, he achieves this only because he doesn't have the brains to think otherwise and actually have expectations, but so many of our problems are because we do have higher intellect and desires, which ironically makes us unhappy because we know what we are missing. We love our cats and dogs for the same simplicity and always being in the moment. There's a line in the movie wondering if everything is predestined or happens randomly or it's a combination of both. It is something to mull over for a long time.",False
6,10,Purity and innocence retained,kenhe,n/a,15/08/2025,"I have seen this movie easily a half a dozen times, and I find that the beauty of the film is how Forrest Gump not only shares his innocence and purity with others, including the audience, he also manages to retain that innocence and purity through some very difficult times. As a Viet Nam veteran, and a college graduate of the late Sixties, I could of course personally relate to the various periods that Forrest Gump endures. I would only mention that the skillful and seamless blending of music, action, and period costume was enthralling. And yet it was so perfectly understated that Forrest Gump's travels through thirty five years of the stormiest and most meaningful years of American history only became clearly defined for the viewer. Even more so than the well known chocolates quote as a metaphor for life, I felt that the remark that stupid is what you do is probably more workable for most of us.",False
7,10,Pure Charm,Hitchcoc,n/a,15/08/2025,"Every once in a while, something comes along that hasn't been done before. This movie is one of those things. First of all, we have a principal character whose take on life is one where you don't judge it; you live it. I know he's a film character. It doesn't matter because we use images such as these to inspire us and to give us our own way of treating each day. Forrest lets no grass grow under his feet. He is the consummate optimist. He doesn't complain because he sees early on that it does you no good. His life is one adventure after another, in and out of the public eye, but his shyness and demeanor don't ever get to his head. He is the epitome of patience, something sadly lacking in the lives of most Americans. He is pushed around by the gusts of time and always lands on his feet. His relationship with a troubled girl is the one consistent thing in his life, and that is also shows his pugnaciousness. There are some commentators and reviewers who call this character stupid. He is a slow processor, but his stability lies in his morality and his consistency. His mother raised him well.Tom Hanks has become our new Jimmy Stewart. His roles are about human emotion and dedication. He is the everyman in many ways. Obviously, the subject matter has changed, but you can bank on his decision making when it comes to film.The other heroes are the special effects people. They are able to make this work; to create an incredible world for him to function within. The news clips are quite marvelous. I usually put this film in my top ten.",False
8,10,"Thirty years on, and it's still as wonderful.",Sleepin_Dragon,n/a,15/08/2025,"A very eventful time in America's history, seen through the eyes of one man, Forest Gump, a man who has a very low IQ, a score of just 75.Tom Hanks, we all know just how good an actor he is, but there is something about his performances here that's extra special, he is simply outstanding. He's given many great performances over the years, this has always stood out.Forest sees Vietnam, the moon landings, presidential changes, and experiences a tough childhood and army life, all relayed from a public bench.It's funny, it's moving, it's wonderfully quirky. I have always loved the way they placed him into historical footage, that scene with John Lennon a personal favourite. It's a long film, but it's one that simply flies by.The music is fabulous throughout, some of the best, and most memorable songs of the time, you'll hear the likes of The Mamas and Papas, Scott McKenzie and many more, it's a terrific soundtrack.I saw it aged 14 when it was first released, and maybe didn't appreciate it at the time, now though, I think it's a captivating watch.Keep on running Forest.10/10.",False
9,9,Dropping My Keys,inspectors71,n/a,15/08/2025,"I remember John Byner, the stand-up comic and impressionist of the 1970s talking about guys crying at movies, how it's not an acceptable behavior. He advised the men in his audience to drop their keys, do something that gets them to lean forward, wipe their faces, and get things under control.I dropped my keys watching Forrest Gump. Lieutenant Dan comes over the hill at Forrest and Jenny's wedding, new legs, fiancé at his side, clean-cut and happy.Forrest states the obvious, ""Lieutenant Dan, you gawt le-eggs!""And the water-works just started to flow.I sit up straight and clear my throat. Got 'em (the keys, that is). My wife leans over and gives me a kiss. She says, ""That's why I love you.""Other than a few historical fussinesses and plot slickeries, none of which are worth mentioning, this is as close to a perfect, emotionally-satisfying entertainment as I have ever seen.I love this movie. I never tire of the simple story of the guy with the lowest IQ in the room being the smartest guy in the room. It's filled with a patriotic decency you can only find in The Wizard of Oz and To Kill a Mockingbird.When Dorothy is aching for home and the Wizard can't deliver, I drop my keys. When Scout points to the man behind Jem's bedroom door and says, ""Hey, Boo,"" the fob goes flying.The next time I get out my copy to show to my 11th Grade US History kids, I'll start fingering my key chain.I can't help it.",False
10,10,The role of innocence in positive thinking and thus success ...,AlsExGal,n/a,15/08/2025,"... seems to be the theme of this film. Forrest Gump has an IQ of 70, is being raised by a single mom, lives in a remote part of the Deep South where there are few opportunities, and has legs that require that he wear braces as a child. Sounds like the recipe for a sad tale or at least a slow death from mediocrity right? No, instead, because Forrest isn't really bright enough to realize the situation he is in, he simply does what he's told to do or what occurs to him to be the right thing at the time and succeeds due to a lack of self doubt. He's told to run and he becomes the star of the Crimson Tide and an All American. When recovering from a war wound, he's taught ping-pong and winds up competing at the global level in China itself. He promises his dying friend Bubba that he'll go ahead with their plans and become a shrimp boat captain and his brand of seafood products becomes a household name.All along the way he never learns the lessons in life that tend to make the rest of us cynical.Gump's childhood sweetheart Jenny starts out with high aspirations - she wants to be like Joan Baez and fight for world peace - and instead she winds up disillusioned, drug addicted, and a near suicide before age 30. She doesn't have Forrest's childlike innocence and this leads her to self-doubt and ultimately failure. Also, fate or ""destiny"" as the film calls it, is not on her side in one big way - her own father molested her as a child, which couldn't help but play a role in the decisions she made.Now Gump does have a bunch of coincidences on his side - call it destiny if you will - the storm that beaches every shrimping vessel in the Gulf of Mexico but his, for example - but in most cases this is just the story of a man going through life without self doubt and that little voice that tells the rest of us ""You can't do that! What are the odds! You'll fail! Make the safe choice!"" To me, this is what this film is about. I think everyone sees something different in it. I highly recommend it as it is truly one of a kind. I remember when it came out it absolutely made professional reviewers crazy that people liked this film, probably because they didn't understand it.",False
