Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Simply amazing!,TheLittleSongbird,n/a,15/08/2025,"I heard mixed reviews on WALL-E, there were those who said it was magical, and those who said it was one of the most overrated movies ever. I will say I loved this movie, it is a truly beautiful movie. It could have done with being a tad longer perhaps, but essentially this is more than a movie with A List vocal talents, WALL-E has genuine heart and will definitely enchant children and any Pixar fan. All I will say is that I am sorry it took me such a long time to see it, I will admit I was differing whether I should see it or not. But I am glad I did. The animation is simply incredible, the whole film is wonderful to look at. The whole movie is done in a very sophisticated visual style, and the bright colours and sublime backgrounds were a delight to the eyes. The music is stunning, the orchestral themes are gorgeous but the song from Hello Dolly! was great and fitted in with the story well. Speaking of the story, it may seem thin to some, but it is a very simple heart warming one all the same with depth and poignancy. There are some very imaginative moments, such as the zero-gravity dance and the ride through space. The voice cast that includes Fred Willard, Sigourney Weaver and Pixar regular John Ratzenburger did an exceptional job, and all the characters were endearing. What made the movie was WALL-E himself, he has to be one of the most lovable and in-depth Pixar characters ever, and the writers create a very haunting atmosphere in the early scenes to match our little hero's isolation. All in all, brilliant, quite possibly one of the best films of 2008. 9.5/10 Bethany Cox",False
2,9,WALL-E Brings Pathos to Computer Animation,seaview1,n/a,15/08/2025,"SpoilerPixar has produced some of the best animation in the past decade with its computer-generated features (Toy Story, Monsters Inc., and Finding Nemo) that have been marked by strong story lines and vivid characters. The tradition continues in an impressive way with Wall-E. This deceptively simple tale is transformed by the emotional content told almost entirely through visuals.A polluted Earth has become uninhabitable for 700 years, and one of its only residents is Wall-E, a small robot whose solitary mission is to be a mobile, trash compactor. In his work, he also finds and collects trivial, odd artifacts of mankind's past such as a Rubik's cube. He comforts himself with an old video, Hello Dolly, and as he learns about humans and his yearning for love, it becomes his idyllic vision of happiness amid an insulated, dull existence. Along his travels, he comes across a unique find, a live plant! One day a spaceship lands and deposits a robot probe. Fascinated by this kindred machine, Wall-E follows and eventually befriends this unit known as Eve. Eve has a directive that will hopefully return humans to Earth if only it can sustain life, and Wall-E's plant figures immeasurably. Eve is returned to her mother ship with Wall-E frantically chasing after his newly found love. On a spaceship acting as a living city for its machine-dependent, overweight humans, little robots are not only the caregivers, but in control. Wall-E and Eve must figure a way to return the humans to earth and find happiness even if it means making the ultimate sacrifice.Wall-E's innocence and childlike wonder (think E.T.), as exemplified by how he introduces himself to everyone he meets, could almost have sprung from Steven Spielberg's imagination. It's in the small details that enrich Wall-E as a character. He brings to mind an amalgam of past robots like Star Wars' R2-D2 and the little robots in Silent Running, and his fears and joys are expressed through body language and squeals. When he shuts down each night to sleep, he rocks himself as a child would. He is clumsy around Eve, and when he takes her to his makeshift home of robot parts and paraphernalia, he is like a little kid. Ironically, he is the catalyst to bring the humans back home.Writer and director, Andrew Stanton (Finding Nemo), takes a huge risk by basing the film's premise almost entirely on a song from Hello Dolly. I can't think of an animated film that relied so much on visual storytelling. Even Fantasia and Allegro Non Troppo were collections of musical sequences not narrative features. In a way, this film is almost too sophisticated in its display and execution for little kids but is just right for adults. Remarkably, this is a tale with nary a spoken word by the principals. One has to think of silent films to approach this achievement. The operative word here is pathos like the best of Charlie Chaplin's little tramp and, amazingly, this film earns its stripes by emoting body language, action, and sound effects. Yet most of the characters aren't even human!Fred Willard has an amusing small role as the corporate president. Sigourney Weaver, as the ship's computer voice, is an inspired choice since, like Eve, she was a female hero (in the Alien movies) and had to deal with computer voices in those films. The animation is almost 3-D in its rich detail and simulated, fluid camera-work. The interior of the mother ship, the Axiom, is a futuristic view of a commercialized (think Blade Runner) city in space.Yes, it is a thinly veiled message for all those 'save the earth' and 'think green' people, but that never detracts from the main theme of saving humanity amid a touching love story. There are moments when you think a scene could have played out a bit better, but that is minor. It is likely that Wall-E's reputation will grow over time as a shining example of stretching the art form by challenging and trusting its audience. Bravo to the folks at Pixar for taking a chance and for entertaining and moving us.",True
3,8,The People At PIXAR are geniuses....,likeminded,n/a,15/08/2025,"Just got back from a special sneak peek/advance screening of this movie, and I must say, Pixar continues to amaze. They just can't seem to make a bad move. Heck, they can't even make a mediocre movie. Now, I will admit, there have been a couple that I would classify as my ""least favorite"" of theirs, but even they were actually very, very good. This one, though...it just may take the cake. Ranks up there with the absolute best they have produced. Hysterical, emotional, meaningful -- this movie succeeds on every front! I am not going to get into spoilers or specific plot aspects, but I will say that I am almost definitely going to see this one again in the theater..and it will be worth every dime. Come Friday, be in line to see Wall-E. You don't want to miss it!",False
4,10,A timeless masterpiece,Sethtro,n/a,15/08/2025,"Personal Rating: 10/10 (Outstanding)I still remember just how impactful this movie was on me when I saw it as a child. The visuals, storytelling, how it made you think. And 12 years later it still stands as one of the best movies Pixar has ever made, and truly a hallmark of animated films.The start of this movie. I could watch on an indefinite loop. The emotions you feel, the bond that grows between you and a robot in the introductory minutes, is storytelling at it's finest. No words have to be spoken and yet this movie world builds better than most 2-hour-long fantasy movies where the characters don't shut up.The visuals. The visuals in this movie are stunning, the way they direct the eye, immerse you in the world, make you laugh and make you cry, a huge credit to the artists who worked on this film. And also interestingly enough, to Roger Deakins, who contributed to the first 20 minutes of the film and to the animating team, as he consulted on how to light scenes, he's quoted saying ""the natural world that we live in just isn't as well-lit as your typical animated world."" So by darkening scenes, adding shadow and cutting the number of lights used, they added a huge layer of realism to WALL-E.The story, how you learn and feel about the characters (who the majority of are robots), the music, it's all superbly done. I can't think of anything I would change. But all this alone isn't what earns it the 10/10 rating, it's the themes, the tones, the way this ""for children"" movie makes you think, that earns my full respect.For the most part, humans choose what's convenient, sacrificing privacy, health, well being, relationships and the like for that. WALL-E showed that exact point like never before. It takes effort to overcome the norm, to work towards a goal, even when it's not rainbows and peaches when one is determined they can do amazing things. Which is why the ending of this movie isn't bleak, it's inspiring. (spoilers) Humans come back to earth because of one lonesome plant. But it's enough to give them hope, and determination, to work on transforming the planet. And that was just one of the themes explored beautifully. I already know I'll be watching this movie again, and again.Thanks for reading my review.""I didn't know we had a pool!""",False
5,n/a,"Who says popular films can't be art? ""WALL·E"" is magical",n/a,n/a,15/08/2025,"Who says popular films are not and cannot be art? If anything is proof that popular films can be of a stunningly high quality, the beauty of the animation, writing, music, and sound design in ""WALL·E"" is it. ""WALL·E"" eclipses even Andrew Stanton's ""Toy Story"" and ""Toy Story 2"" in the Pixar pantheon, is perhaps Pixar's best film to date and, call me crazy as I've just seen it, a contender for the title of best animated film, period.""WALL·E"" is everything we've come to expect from Pixar and more- colorful, vibrant, imaginative, exciting, involving, beautiful, and most importantly a film with interesting, involving characters. Sure, WALL·E is adorable, and as much credit as the animators get for that, this film would be nothing without Stanton's screenplay, which features very little dialogue but is still notably intelligent and surprisingly subtle, making a refreshing change from the 'go green' campaigns we're all so used to. Does ""WALL·E"" have a message? Sure, but it's an important message and it is delivered subtly and beautifully.""WALL·E"" operates on two levels (and works spectacularly well on both). It is a majestic science fiction epic like we haven't seen in a couple of decades and it is a genuinely touching and never cheap romance. ""WALL·E"" will never get points for originality but it doesn't exactly need them because the homages to great films and figures of the past- Chaplin, Keaton, Tati, the Marx Brothers, ""2001: A Space Odyssey"" (this one is particularly spectacular), ""Close Encounters of the Third Kind"" are actually homages and not ripoffs. ""WALL·E"" is a wonderful tribute to a bygone cinematic tradition (well, two or three of them actually).The social commentary in ""WALL·E"" is sobering because it's never overbearing and most importantly because we see the world through machines, machines who feel more about Earth and life than the humans do. The depiction of humans on the ship could have been incredibly offensive, cheap, and tasteless in concept but the execution here is absolutely perfect.What is most surprising about ""WALL·E"" is how sad it is. Not even in the 'how will they get out of this, oh I feel so sorry for them' way ""Finding Nemo"", a previous Stanton effort, is, but in a truly melancholy sense. The early portion of the film maintains all the playfulness of a Jacques Tati film but also evokes a striking and powerful feeling of loneliness. It's a brilliant introduction to WALL·E, given that the rest of the film is too wacky to bother with long scenes focused entirely on character, and works beautifully with the ugly yet beautifully-rendered future Earth, a barren wasteland filled with nothing but garbage, a seriously resilient cockroach being WALL·E's only companion before EVE shows up, but I won't go into the story- it's best you see it unfold for yourself.From the entertaining shorts shown before the film to the memorable characters, locations, and animation we have come to expect, Pixar films are now event cinema, and they have outdone themselves with ""WALL·E"". This film is spectacular, majestic, touching, involving, and achingly beautiful. Most importantly, however, it is perfect entertainment. I may be saying this too soon, but I don't think I have ever seen an animated film that has satisfied me more than ""WALL·E"", and 2008 is going to have to work hard to keep this from being the top film of the year, which it most certainly is at the moment.9.5/10",False
6,10,Best movie of the century,0U,n/a,15/08/2025,"To this day, this is still my favorite pixar film. The animation is stellar, its heartwarming, funny and proves that pixar movies are always bound to be great (except for cars 2 but thats a different story). This has a shot at the title ""best movie of the century""",False
7,10,Honestly? This is the best Disney/Pixar movie I have seen,Smells_Like_Cheese,n/a,15/08/2025,"SpoilerI'm starting to wonder if there is bad Disney/Pixar film, I mean, normally when we think of the combo, it does equal gold, we automatically know that everyone is going to love this movie, it's just a matter of comparison to the other animation films. I'm not just saying this because I had a good time when I was watching this, I'm very serious, this is my favorite Disney/Pixar film. It's completely worth the ticket price, this couldn't have been a more perfect film. Everything about WALL·E is just beyond great: the characters, the story, and the incredible animation. But the thing that I loved about WALL·E is it's message, I know that it does go a little over board with the ""jog or get fat"", ""throw your garbage away"", and the ""we've become too dependent on machines"" message, but I felt this was the most charming way to present it to the children who have to grow up in a world where they're going to have to worry about global warming, this may open their eyes a little.WALL·E is a robot that is left all alone on Planet Earth, Earth is now covered with garbage. The humans have left onto a corporate ship and are living their lives care free and well, thought free. WALL·E has been collecting little human pieces here and there and making them into his treasures, but the one thing he really wants is a friend. One day a ship lands with a female robot, Eve, who WALL·E just adores, but Eve is on a mission to find a plant to bring back onto the human ship to show that Earth is safe. But when the ship grabs Eve, WALL·E follows her and discovers the mutiny that is afoot on the ship. Everyone is overweight, can't walk, can't think for themselves, and let's all the robots do all the work for them. But WALL·E and Eve are on the mission to get them back to Earth and give it a little love.WALL·E is seriously the best movie I have seen this summer, I just adored this movie, it has great laughs, cute jokes and is entertaining for the whole family. Like I said before, when it's Disney/Pixar you just can't go wrong. WALL·E is one of their most lovable characters ever and was like the robot version of Charlie Chaplin, he brought great slap stick to the story. This movie delivers everything you can imagine and much more, not to mention a great message. I highly recommend this movie for everyone, it's just a very wonderful movie that anyone can enjoy. The animation, I can't believe how far we've come, but this was a beautifully made movie and couldn't have been better. I loved WALL·E, this is a movie that will bring you plenty of laughs for your summer.10/10",True
8,10,Pixar does it again!,DrWetter,n/a,15/08/2025,"I just returned from an advanced benefit screening of WALL*E, and I want to be careful not to spill too much regarding the movie. I had the added privilege of watching the film at Pixar, which in and of itself, was amazing.This picture is not a cartoon; it is a film. In fact, it even has the LOOK of film. One of my complaints of more recent 3-D/CG animated films (not from Pixar) is that they all seem to look the same... clean lines, crisp colors, and very ""virtual"", for lack of a better term. WALL*E transcends the typical look of CG animation, and has a true to life ""grit."" The creators at Pixar are true artists, and are indeed masters of their craft. Not only are they masters of the technology, they are masters of telling a story. WALL*E is no exception.The best way to describe the film is as a science fiction, comedy, dramatic love story. WALL*E, as a character, has dimension, personality, and heart... pretty impressive given that he is essentially a trash compactor. It is true that there is little dialogue in this feature, but I personally did not feel it detracted from the story at all.WALL*E is very much a different Pixar film from it's previous features. I will be curious to see how it is received by others, but in my opinion, I think Pixar has stayed true to itself, demonstrating a commitment to telling great stories and pushing the edge of technology to leave your jaw dropping! My most sincere compliments to Andrew Stanton, Jim Morris, John Lasseter, Ben Burtt, and all the creative forces at Pixar. Can't wait to see what the future brings...",False
9,10,Pixar's still producing the best movies out there,CA_movie_fan,n/a,15/08/2025,"We went to the San Francisco Film Institute's first public screening at their campus in Emeryville. Everyone's sworn to secrecy, but for a film with little dialog, it carries more of an emotional punch and has a richer story than any live-action movie this year. The tone and style of the film is completely different for Pixar, and Disney haven't tried to override the darker thematic elements at all, making the story surprisingly three-dimensional.This will end up being the animated film of the year and I had the same 'wow' feeling as after seeing Ratatouille. Considering that animated films have always played second-fiddle to live-action, and have been aimed at kids, it's ironic that once again Pixar produces a film that rivals any live action on every level. Bravo!",False
10,10,An A+ for Wall-E! One of the best movies this century!,jedi-jones,n/a,15/08/2025,"Wall-E is the movie experience I've been looking for. I haven't seen a new film this richly entertaining, thrilling, touching and satisfying since Spider-Man 2. It is truly the finest Pixar or animated CGI film to date. I can discuss it without spoilers easily because it's one of those films, like 2001: A Space Odyssey, that exists more as a pure experience of the heart and the senses than as a collection of events that we're supposed to keep track of intellectually. Wall-E rises above that kind of unnecessary complication into the same kind of space occupied by dreams and the imagination.This film is beautifully animated, of course, to that magical Pixar point where even piles of what should be disgusting trash somehow look breathtakingly gorgeous and even fairly realistic-looking roaches look cute. But much more importantly, the heart, the emotion in this movie is unlike anything I've experienced at the cinema since Forrest Gump. Certainly my tear ducts have not welled up while watching a movie this much since then. I fell in like with the character of Wall-E when I saw the trailer. Watching the movie, I fell in love with him within about 2 minutes. Shortly after that, I fell in love with the idea of Wall-E falling in love.My previous favorite movie romance is Superman and Lois Lane in the original Superman films. The love story, or the love experience of Wall-E and Eve is perhaps the first I've seen since then that operates at and succeeds on that same level. These couples create an uncomplicated, innocent, simple, yet deep and powerful bond. They capture the experience of love at first sight, writ large. They possess an instant chemistry that tells you they belong together from the first time they see one another and makes you root for their relationship throughout the film. Wall-E and Eve share moments together of real cinematic beauty, true hilarity, frightening sadness, frustrating difficulty and delightful satisfaction. It's a testament to the level of genius at which the Pixar storytellers are operating that we feel every beat of this relationship resonate every step of the way despite the fact that the characters are robots that are not modeled off of humans and speak no more than a handful of words throughout the movie (this animated movie is refreshingly free of obvious ""guest star"" voices or any over-the-top stand-up comedians trying to upstage the movie).Just like in the first Superman films, once you care about the characters as individuals and care about their relationship, it's almost impossible for the rest of the movie not to work. You're hooked at hello. Wall-E adds all the expected complications to keep the would-be lovers from getting together most of the time. There is a truly great ""McGuffin"" that keeps the heroes and villains busy for quite a while (the item in question is something outwardly simple that ends up holding the key to something more important than anything in the world). The pacing during most of these adventures is as breakneck as anything out of the Star Wars films and the action is always staged with crystal clarity. There are several scenes of peril for Wall-E that are reminiscent of that oddly powerful sequence in Short Circuit 2 when Johnny 5 is almost killed. The filmmakers pull absolutely no punches when it comes to running your heart through the ringer over characters you care about. It probably helps that you can do a lot more physical damage to a robot character than you can to a human character while keeping a G rating and still getting the audience dramatically worried about their survival.Even on top of the action, the emotion, the visuals and the humor, Wall-E goes the extra mile into thought-provoking thematic territory. The film never hits you over the head with anything preachy and doesn't really even outright tell you what its opinions on the subjects it raises are. It also doesn't explicitly lay out explanations for everything that exists in Wall-E's world (there are no ""talking killer"" scenes and very little verbal exposition). I think the bits of ambiguity work here because they add to the sense of mystery, helplessness and alienation that most of the characters in the movie feel to some degree.There are human characters in this movie too, quite a few. I think that's necessary because if humans aren't shown in a robot world, you have to wonder what purpose were the robots designed to serve? That was a curiosity of the earlier CGI movie, Robots. Most of the humans in Wall-E aren't as developed as the robots, but I think that's because they exist more to represent the whole of humanity rather than particular individuals. We're asked to ponder the consequences of the choices they make as though the whole society was moving in that direction, not just one person. Wall-E and Eve are the heart of this movie but the humans are used to add some intellectual gravity for the audience to chew on.Other choices made in the movie might also leave room for debate, such as the integration of some live-action footage into the film. But because the movie as a whole is so audaciously stimulating and brilliantly satisfying, it's a plus that they left us with a few unresolved or unusual things to think about and question after getting off of the great emotional and visual roller-coaster experience. Wall-E truly serves up everything that I think an audience could want in a movie experience. It will be very easy for me to watch this one over and over again. It is a modern-day classic that I believe should earn a place in cinema history as the ""2001"" of CGI animated films, both of them movies of indisputable brilliance, unyielding imagination and unending entertainment.Footnote: The pre-movie short is an awesome, violent Looney Tunes/Roger Rabbit-esquire toon. It wants only to entertain and does.",False
